id,question,answer,score
2490c0e2-5e57-46de-a276-0163f4b35337,"A female child with virilization, hypertension with low plasma renin diagnosis is :","Congenital adrenal hyperplasia due to 11β-hydroxylase (CYP11B1) deficiency. Excess deoxycorticosterone causes low-renin hypertension, and excess androgens cause virilization.",1
012fcc39-b037-46f3-8a0e-1dfe556a6165,A six year old male baby presents to a hospital with recurrent gross hematuria for 2 years. There is no h/o burning micturition or pyuria. Urine routine examination demonstrated no pus cells and urine culture was sterile. Serum C3 levels were normal. What is the most probable diagnosis-,"IgA nephropathy (Berger disease), which classically causes recurrent gross hematuria with normal complement levels.",0
805f167d-13ad-4949-9267-1ebce3a48a9f,A 26 years old G2P1L1 at 10 weeks complains of pain abdomen and bleeding per vaginum. On examination products of conception are seen paially extruding through the cervix. What is your diagnosis?,Incomplete abortion — pain and bleeding at 10 weeks with an open cervix and products of conception partially extruding through the os.,1
2c676972-bd4f-4a3c-b082-2af34b86c74c,"A 30 year old female patient complains of painless hard anterior neck mass. FNAC was inconclusive. Open thyroid biopsy was performed which revealed the  ﬁbrous nature of the mass, woody, non tender thyroid, mimicking carcinoma is  observed.  The diagnosis points towards","Riedel’s thyroiditis (invasive fibrous thyroiditis).  
It presents as a “woody,” rock-hard, painless thyroid that mimics carcinoma due to extensive fibrosis.",1
6ced785b-413c-4df8-8ce8-aa579c6d9521,What is the treatment of threshold ROP?,"Urgent ablation of the avascular peripheral retina—preferably diode laser photocoagulation within 48–72 hours (cryotherapy if laser isn’t feasible). Intravitreal anti‑VEGF (e.g., bevacizumab/ranibizumab) is considered especially for Zone I or aggressive posterior ROP, with close follow‑up for recurrence.",1
94a3ee08-9f21-42c0-81ce-6168af594e82,"A 47-year-old woman is admitted to the hospital with signs of cavernous sinus thrombosis. Radiographic examination reveals a pituitary tumor involving the cavernous sinus, confirming the initial diagnosis. During physical examination it is suspected that the right abducens nerve of the patient has been damaged by the tumor. In which direction will the physician most likely ask the patient to turn her right eye to confirm the abducens nerve damage, assuming she is unable to perform this task?","Ask her to abduct the right eye—i.e., look to the right (temporal/lateral gaze). Inability to do so confirms CN VI (abducens) palsy.",0.5
56bd9fb1-3392-4ec9-839c-0c1263e9aa88,"A patient repoed with a history of fall on an outstretched hand, complains of pain in the anatomical snuffbox and clinically no deformities visible. The diagnosis is:","Scaphoid (carpal navicular) fracture—classically presents with snuffbox tenderness after a fall on an outstretched hand, often without visible deformity.",1
eeebfc32-6319-4485-9c8a-fe4c50d02283,"A young patient presented with sudden painless loss of vision with systolic murmur over chest, ocular examination reveals - cherry red spot in macula with clear AC, with perception of light, diagnosis:","Central retinal artery occlusion (CRAO), likely embolic from a cardiac source given the systolic murmur.",0.95
7333d4bc-9de9-4a9d-84d9-c1ee69b5e2b8,"Eleven years after undergoing right modified radical mastectomy, a 61-year-old woman develops raised red and purple nodules over the right arm. What is the most likely diagnosis?",Lymphangiosarcoma (Stewart–Treves syndrome) arising in chronic lymphedema of the arm after mastectomy/axillary dissection.,1
b1633061-085e-49ae-9488-12e39b81c05b,"40 year old male with sputum AFB +ve,complains of Hoarseness of voice and painful swallowing on examination vocal cord shows mamillated adenoids and hyperaemia the most likely diagnosis is",Laryngeal tuberculosis (tuberculous laryngitis).,0.9
0658ba44-7b65-4e71-b439-95653608ddd2,What is the probable diagnosis in a patient with a dilated pupil not responsive to 1% pilocarpine,"Pharmacologic mydriasis due to anticholinergic blockade (e.g., atropine/scopolamine exposure), as it won’t constrict even with 1% pilocarpine.",0.9
4fd5e89b-9ec7-4917-9c75-e46af0336940,An 18 yr old male presents with massive hematemesis; he has history of fever for the past 14 days for which he was managed with drugs; moderate splenomegaly is present; diagnosis is:,"Bleeding esophageal varices from portal hypertension, most likely due to extrahepatic portal vein obstruction (EHPVO) in a young patient with splenomegaly.",0.8
1ef63795-7bef-4c88-8824-9d6ea36b147c,"A patient developed breathlessness and chest pain, on second postoperative day after a total hip replacement. Echo-cardiography showed right ventricular dilatation and tricuspid regurgitation. What is the most likely diagnosis?",Massive pulmonary embolism causing acute right ventricular strain (acute cor pulmonale).,0.9
a29bb139-1b53-463c-b01d-8c6404f7f06d,"30 year old patient with pain in right hypochondrium for 5 days with soft and tender liver and intercostal tenderness. He complains of catch in breath on inspiration and has a non productive cough. On examination the lung fields are clear, patient looks pale and emaciated. Probable diagnosis is","Amoebic liver abscess (Entamoeba histolytica), causing tender hepatomegaly with intercostal tenderness and pleuritic, nonproductive cough despite clear lung fields.",1
adbbdcc1-24c8-4e6c-9f6f-00a7c65a9ca7,A patients complains of occasional vomiting of food paicles eaten a few days ago. His wife repos that his breath smells foul. The most likely diagnosis is ?,Zenker’s (pharyngoesophageal) diverticulum. It causes regurgitation of undigested food days later and foul breath (halitosis).,0.5
dbdd7db5-6c9e-4978-8de8-2fc2b07fcbd7,"A young girl presents with primary amenorrhoea, grade V thelarche, grade II pubarche and no axillary hair. The most probable diagnosis is",Androgen insensitivity syndrome (testicular feminization). Fully developed breasts with scant pubic/absent axillary hair and primary amenorrhea are classic for AIS due to peripheral androgen resistance.,1
080139cb-a495-44a8-908e-26689b910af6,"After a leisure trip, a patient comes with gritty pain in eye, and joint pain following an episode of urinary infection. What is the most probable diagnosis?","Reactive arthritis (Reiter’s syndrome). It classically follows a genitourinary infection and presents with the triad of urethritis, conjunctivitis (gritty eye), and arthritis.",1
2a8e61f3-085c-4603-b331-de0078d6e5f9,"A 12-year-old boy had a gradually progressive plaque on a buttock for the last 3 years. The plaque was 15 cm in diameter, annular in shape, with crusting and induration at the periphery and scarring at the centre. The most likely diagnosis –","Lupus vulgaris (cutaneous tuberculosis) is most likely, given the slowly enlarging annular plaque with an indurated/crusted active edge and central scarring.",1
912a667d-7314-4e2a-8c61-254829eae221,What is the most probable diagnosis for on the x-ray of a 20 year old female who came with knee swelling,"I can’t determine this without seeing the x-ray—please upload it or describe the key features. In a 20-year-old with knee swelling, typical radiographic considerations include giant cell tumor (epiphyseal lytic “soap-bubble”), osteosarcoma (sunburst/Codman triangle), or Ewing sarcoma (onion-skin periosteal reaction).",0.5
de231299-c4b5-4980-88ca-3dd828085789,A patient with primary Sjogren syndrome treated with tear replacement for symptomatic relief notes continued parotid swelling for the last 3 months. She also has enlarged posterior cervical lymph nodes. Evaluation shows leukopenia and low C4 complement levels. What is the most likely diagnosis?,"Extranodal marginal zone B-cell (MALT) lymphoma of the salivary/parotid gland, a non-Hodgkin lymphoma complicating Sjögren syndrome. Persistent parotid enlargement, lymphadenopathy, leukopenia, and low C4 are classic red flags for lymphoma in Sjögren’s.",1
eb216a2d-ec98-4e03-8ac8-de3c93bc6d1b,A 66 year old female is posted for subtotal gastrectomy for adenocarcinoma. The important procedure related complication:,"An anastomotic leak is the most important procedure-related complication after subtotal gastrectomy, potentially leading to peritonitis and sepsis.",0.5
9638270b-74f0-400b-b3e8-dcc8612cf736,"A 2 day old newborn baby presented with microcephaly, macroglossia, visceromegaly and a blood glucose level of 20 mg/dl. What is the most likely diagnosis","Beckwith–Wiedemann syndrome, characterized by macroglossia, visceromegaly, and severe neonatal hypoglycemia due to hyperinsulinism.",1
d8c67c14-63a4-4fb2-b360-b301b0e803ab,"Recurrent aboion occurs in a woman, USG abdomen shows a non-echoic region in the central pa of the uterus. What is the probable diagnosis",Septate uterus (uterine septum). It’s the commonest uterine anomaly linked to recurrent miscarriages and can appear as a central non-echoic band on ultrasound.,1
c79ceb7e-0bc4-465d-99d4-dec847224acb,"A 22 year old woman developed small itchy wheals after physical exeion, walking in the sun, eating hot spicy food and when she was angry. The most likely diagnosis is:","Cholinergic urticaria (heat/sweat-induced urticaria) triggered by increased core temperature from exercise, hot foods, sun exposure, and emotional stress.",0.95
fbe5853c-1451-4c8b-a6ab-f5b573f17e50,"A 35 yr old male female singer presents with complains of hoarseness, vocal fatigue & pain in neck on prolonged phonation. Direct laryngoscopy shows bilateral pin head size swelling on Ant.1/3 & post 2/3 junction of vocal cord. What could be the probable diagnosis ?",Bilateral vocal cord nodules (singer’s nodules) at the junction of the anterior one-third and posterior two-thirds of the cords.,1
fb7347a0-1f01-462e-965d-5d8cb34eafed,"A 42 yearold female has palpable purpura with rash over buttocks, pain in abdomen, and ahropathy diagnosis is -","IgA vasculitis (Henoch–Schönlein purpura). The triad of palpable purpura (often on buttocks/legs), abdominal pain, and arthralgia is classic.",1
b8364251-5fbb-46d0-85ee-9c0a869f2e54,"A 8.5-year-old child with missing 11 reported to your clinic. 21 erupted at 6.5 years of age. The child had trauma to 21, 4 months back and got it endodontically treated for that. What is your further treatment about missing teeth?","Obtain imaging (maxillary occlusal/periapicals or CBCT) to locate 11 and rule out obstruction or dilaceration; if present, remove the obstacle and allow spontaneous eruption or proceed with surgical exposure and orthodontic traction to align it. If 11 is absent or non-restorable, provide an esthetic space maintainer/bonded pontic now and plan definitive replacement later (consider autotransplantation in mixed dentition, implant/bridge after growth completion).",0.75
60566198-b289-4c99-a6e8-e44d12f1512b,"A 3-year-old girl has normal developmental milestones except the delay in speech. She has difficulty in concentration, communication and relating to others and does not make friends but plays with herself. Likely diagnosis is","Autism spectrum disorder (childhood autism), given the speech delay with marked social and communication deficits and solitary play.",1
c3dd9e0b-0333-4c4a-b8af-b9b462ad44ca,Diagnostic procedure for basal cell Ca -,"Basal cell carcinoma is diagnosed clinically (often with dermoscopy) and confirmed by skin biopsy—typically shave or punch, with histopathology as the gold standard. Imaging (e.g., MRI/CT) is reserved for suspected deep/perineural invasion or advanced disease; noninvasive adjuncts like reflectance confocal microscopy can help in select cases.",0.7
0616c548-a40e-4ad3-952d-a1f3a9d67ecf,"A patient presented in casualty with a history of sudden onset palpitation, sensation of impending doom and constriction in his chest. This lasted for about 10-15 minutes after which he became all right. What is the MOST likely diagnosis?",Panic attack (acute anxiety episode) is most likely.,1
20d211b9-a4b1-4b39-8fc4-163bb59cccd6,An 18-year-old presents with a well- circumscribed 2 cm mass in her right breast. The mass is painless and has a rubbery consistency and discrete borders. It appears to move freely through the breast tissue. What is the likeliest diagnosis?,"Fibroadenoma of the breast. This is a common benign, rubbery, well-circumscribed, freely mobile mass in young women.",1
9c545cc6-5217-4737-a1c9-c6e31942ca2b,A child comes with cyanotic spells and chest X-ray was as shown below; What is the most probable diagnosis?,Tetralogy of Fallot—suggested by cyanotic (tet) spells and a “boot-shaped” heart with decreased pulmonary vascular markings on chest X-ray.,1
5c5ad07d-9c1c-4f0b-b60a-967182ae19a4,"A patient presented with abdominal pain, jaundice and melena. The diagnosis is","Hemobilia. This is Quincke’s triad: abdominal pain, jaundice, and gastrointestinal bleeding (melena).",1
