id,question,manual_label,llm_label
05fd397f-6c46-4056-9871-f30f2d4efca0,"A 30-year-old female, known case of PCOD, on treatment presented to the gynecologist with complaints of hirsutism. She was given a topical application cream which acted by inhibiting ornithine decarboxylase enzyme. The same drug is useful in management of which of the following parasitic infection?",False,True
10c6d10b-6cf9-4e70-9c78-bcfc14b99161,A patient has syphilis since 2 year. CSF examination was done & treatment staed. Which of the following test is most useful in monitoring treatment,False,True
12b85284-0226-49be-a7ed-6f8012c1b072,"A 40-year-old P3L3 woman complains of urgency and hesitancy. Fuher some- times she gets the urge to void, but passes urine before reaching washroom. She had three normal spontaneous vaginal deliveries of infants weighing between 3.5 and 3.8 kg. Urine examination is normal. All of the following are appropriate treatments in the management of this patient Except",False,True
1730c147-1806-4631-b6a8-18b916e82939,Which of the following treatments cannot used for management of Obsessive Compulsive Disorder (OCD)?,False,True
17a709d8-5c6d-417b-b116-ebab59d3d0b3,"A 50-year-old woman has had easy fatigability and noted a dragging sensation in her abdomen for the past 5 months. Physical examination reveals that she is afebrile. She has marked splenomegaly, but no lymphadenopathy. Laboratory studies show her total WBC count is 250,000/mm3 with WBC differential count showing 64% segmented neutrophils, 11% band neutrophils, 7% metamyelocytes, 5% myelocytes, 4% myeloblasts, 3% lymphocytes, 2% basophils, 2% eosinophils, and 2% monocytes. A bone marrow biopsy is performed, and karyotypic analysis of the cells reveals a t (9;22) translocation. Medical treatment with a drug having which of the following modes of action is most likely to produce a complete remission in this patient?",False,True
180fe749-7961-4d57-b0ad-108a3bab50ae,A patient presents with lower gastrointestinal bleed. Sigmoidoscopy shows ulcer in the sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment ?,False,True
1926e768-1dfb-4f02-9bf6-764adaad8950,Which is true about treatment of hypeensive crisis with encephalopathy in a patient with a pheochromocytoma.,False,True
1b6e1870-2936-48c7-bd50-bc9b7f202608,"A 45-year-old male, Sanjeev was brought to the emergency with severe agitation and aggressive behavior. He was staed on haloperidol and the patient became responsive and cooperative. After 8 days of treatment, he developed high grade fever, diarrhea, confusion and muscle rigidity. Which of the following should be used for the treatment of this condition?",False,True
1c2d6992-d17e-4a19-a791-1b964a7084a5,Which of the following is the treatment of choice in the management of carcinoma of the anal canal?,False,True
1ec8354c-2b45-485e-b21c-5af6279eb433,"A 61-year-old man with increasing fatigue, early satiety, and nausea for 5 months vomited dark granular material yesterday. Endoscopy reveals a large ulcerated mass in the gastric fundus. Biopsies are taken and microscopically the mass is composed of spindle cells that are positive for c-Kit with immunohistochemical staining. Mitoses are frequent. Gastrectomy is performed, and the 10-cm circumscribed mass arises from the gastric wall. Which of the following therapies is most likely to be a useful adjunct in the treatment of his disease?",False,True
1f58fc36-57f3-4164-929a-058e3bd97a8f,"A 16-year-old female comes to the physician because of an increased vaginal discharge. She developed this symptom 2 days ago. She also complains of dysuriA. She is sexually active with one paner and uses condoms intermittently. Examination reveals some erythema of the cervix but is otherwise unremarkable. A urine culture is sent which comes back negative. Sexually transmitted disease testing is performed and the patient is found to have gonorrheA. While treating this patient's gonorrhea infection, treatment must also be given for which of the following?",False,True
25d7fe2d-3344-464a-a058-fec949a7d49a,"A 66-year-old woman presents with a 6-month history of scaling and abnormal pigmentation of the skin. Her past medical history is significant for the treatment of thyroid cancer 1 year ago. Biopsy of lesional skin shows atrophy of the epidermis and dense fibrosis of the dermis, which displays dilated superficial blood vessels. These pathologic findings are most likely caused by previous exposure to which of the following?",False,True
29b10a13-aa1e-4d5a-80da-981e02822581,Surrogate markers for patients physical reserve to plan oncological treatment are all Except,False,True
2acc0057-bcb5-4381-b4c5-9d7fb32a1814,"All of the following drugs are used in the treatment of visceral leishmaniasis, EXCEPT:",False,True
2d48cae1-1034-49c4-ac7f-c149443edd6d,A male patient 56 year old complains of swelling in legs. He is a known case of hypertension and is under treatment. On general physical examination pitting oedema is seen on legs and TSH level 3mU/L. Which of the following is not a cause of this condition?,False,True
2fe18524-63e2-4dae-9057-b495ce0a70c3,A 28-year-old female with folliculitis is not responsive to a 10-day treatment course with penicillin. An enzyme produced by the etiologic agent is most likely responsible for this treatment failure. At which site on the molecule shown does this enzyme act to destroy penicillin?,False,True
351fd3dd-58da-40d7-a214-6025684ff8e2,"Treatment of supraventricular tachycardia with hypotension in a patient under general anaesthesia, inludes all of the following treatments, EXCEPT:",False,True
36d54047-941b-45d7-8218-d3550112276c,A 45 year old female patient comes to the clinic for routine general checkup. She is a known diabetic and is on oral hypoglycaemic drug (Gliconil). On general examination truncal obesity is seen. The agent used in the treatment of this patient acts by inhibiting which of the following ?,False,True
3ad94f2d-2b60-4fac-9c8e-fe4ace77fe1d,"A 17 year old woman notices that her urine becomes red after she is given sulfonamides for treatment of a urinary tract infection. Both urine and serum test positive for free hemoglobin, and the urine red cell count is 1.2 million/mm3. A peripheral blood smear showed normocytic and normochromic red cells and a few ""bite cells."" Deficiency of which of the following substances is most likely responsible for these symptoms?",False,True
44f748c7-5f7b-4557-8ec8-481a36f6830e,"A 30-year-old male patient came to emergency depament with chief complaint of painful skin rash. Antivirals and analgesics were prescribed but there was no improvement in the symptoms of the patient. Viral strains, therefore isolated and were found to lack viral phosphorylating enzymes. Which of the following drug is most likely to be effective in treatment of this condition?",False,True
4591dbf7-df2c-4d7f-8adf-602bfa5ed472,A patient is receiving insulin and acarbose for diabetes mellitus and developed hypoglycemia. Which of the following should be used for the treatment of hypoglycemia in this patient?,False,True
