id,question,cop,opa,opb,opc,opd
1d4ccb9d-1924-4aa6-b07c-0ed46fe31c20,Which of the following is the best procedure done for intrapaum fetal monitoring:,2,Fetal echocardiography,Fetal scalp pH,Continuous electrical fetal hea monitoring,Physical examination
aeb420c2-ede8-48bc-9400-a5ae531f15ee,The radiograph of a 32 year old patient is shown below. The patient is asymptomatic and the lesion revealed in the radiograph is an accidental finding. The most likely diagnosis is:,0,Stafne’s bone cavity,Radicular Cyst,Dentigerous cyst,Lateral periodontal cyst
31868f6c-233a-40ee-880e-9c668509a8b1,"An ill 16 days old baby girl is brought to the emergency. On examination pallor and dyspnoea present with a respiratory rate of 85 per minute. Her HR is 200 bpm, hea sounds are distant and a gallop is heard. X-ray showed cardiomegaly. An echocardiogram shows dilated ventricles and dilation of the left atrium. An ECG shows ventricular depolarization complexes that have low voltage. Which of the following is the most likely diagnosis?",0,CHF,Glycogen storage disease,Pericarditis,Aberrant left coronary aery arising from pulmonary aery
62f6d5bb-6085-4328-97a0-3e3776f9ae78,A patient with cushinoid features presents with hemoptysis; he shows no response to dexamethasone suppression test; most likely diagnosis here is:,2,Adrenal hyperplasia,Adrenal adenoma,Ca lung with ectopic ACTH production,Pituitary microadenoma
cbd91783-e901-4672-9ec1-7f58bce041da,"A 74-year-old woman develops occipital headache, vomiting, and dizziness. She looks unwell, her blood pressure is 180/100 mm Hg, pulse is 70/min, and respirations are 30/min. She is unable to sit or walk because of unsteadiness. Over the next few hours, she develops a decline in her level of consciousness.For the above patient with altered level of consciousness, select the most likely diagnosis.",1,basal ganglia hemorrhage,cerebellar hemorrhage,pontine hemorrhage,lobar intracerebral hemorrhage
17a37bf5-e78b-48f2-be15-16c1049d1427,"A 40-year-old man presents with a 2-week history of recur- rent oral ulcers, genital ulcers, intermittent arthritic pain of the knees, and abdominal pain. Physical examination reveals shallow ulcerations of the mucosa of the glans penis, as well as oral aphthous ulcers and conjunctivitis. Which of the following is the most likely diagnosis?",0,Behyet disease,Genital herpes,Gonorrhea,Polyarteritis nodosa
2490c0e2-5e57-46de-a276-0163f4b35337,"A female child with virilization, hypertension with low plasma renin diagnosis is :",1,21α hydroxylase deficiency,11 β hydroxylase deficiency,3β hydroxylase deficiency,Conn’s syndrome
4aaa1979-d835-4536-9c75-19b54a255241,"A young girl presents with abdominal pain and a recent change in bowel habit, with passage of mucus in stool. There is no associated blood in stool and symptoms are increased with stress. The most likely diagnosis is-",0,Irritable bowel syndrome,Ulcerative colitis,Crohn's disease,Amebiasis
07cb00a8-27aa-4917-a9b9-369c38b87aac,"Ramachandran is on the surgical ward with non-seminomatous tumor of testis and more than 4 retroperitoneal lymph nodes involved. You are the resident who is making a decision about fuher management. The treatment include all of the following, except:",3,Retroperitoneal Lymph Node Dissection (RPLND),Inguinal orchiectomy,Chemotherapy,Radiotherapy
0f52a203-4d3d-4fee-b3c2-ee98ee03fe10,"A 34-year-old female has a history of intermittent episodes of severe abdominal pain. She has had multiple abdominal surgeries and exploratory procedures with no abnormal findings. Her urine appears dark during an attack and gets even darker if exposed to sunlight. The attacks seem to peak after she takes erythromycin, because of her penicillin allergy. This patient most likely has difficulty in synthesizing which one of the following?",0,Heme,Creatine phosphate,Cysteine,Thymine
4aed3cb7-f6b2-4bda-b2c0-1230c3e61e34,"3-year-old child comes in ER with Hv'o vomiting, loose watery motion for 3 days, on examination, the child was drowsy, sunken eye. Hypothermia and skin pinch take time to revert back, diagnosis",3,No dehydration,Mild dehydration,Some dehydration,Severe dehydration
f68d215d-20f5-4c82-a386-02445dc44ebc,"A 50 years old lady presented with lump in the left breast, which has developed suddenly in weeks. Perimenstrual symptoms are present. No associated family history. On examination, the lump is well circumscribed, fluctuant, 1.5 cm oval in shape. Most likely diagnosis:",0,Breast cyst,Galactocele,Fibroadenoma,Breast cancer
226c17a9-13fe-4496-bc2e-5aabce4fef1c,"A 2-week-old baby is irritable and feeding poorly. On physical examination, the infant is irritable, diaphoretic, tachypneic and tachycardic. There is circumoral cyanosis, which is not alleted by nasal oxygen. A systolic thrill and holosystolic murmur are heard along the left sternal border. An echocardiogram reveals a hea defect in which the aoa and pulmonary aery form a single vessel that overrides a ventricular septal defect. What is the appropriate diagnosis?",3,Atrial septal defect,"Coarctation of aoa, preductal",Patent ductus aeriosus,Truncus aeriosus
b634a7e2-4f0b-4d25-ba86-3da9ccf4726a,"A 20 years female has hepatosplenomegaly, fever, pallor and generalized lymphadenopathy. Lab test useful for diagnosis is/are -a) ESRb) Electrophoresisc) Parasite detection in aspirated) ELISAe) Routine haemogram",1,acd,ace,cde,ade
65f2ce5a-dd89-45fc-a2cd-5f369acffe77,"A 9-year-old boy diagnosed as uncomplicated pulmonary tuberculosis. He is put on isoniazid, rifampin, and ethambutol at home after initial treatment given at hospital. Which is accurate statement for this scenario?",0,His 3-year-old sibling should receive INH prophylaxis,A baseline test of auditory function test is essential before drug treatment is initiated,Polyahralgia is a potential adverse effect of the drugs the boy is taking,"His mother, who takes care of him, does not need INH prophylaxis"
fc4ad074-28fe-4b8f-bde1-79c50dadad98,A 1 year old child is brought to you with delayed milestones. On examination you note that the child is very fair with hypopigmented hair and blue eye. He has also got eczemas. The child was also very irritable. What is your diagnosis?,1,Albinism,Phenylketonuria,Alkaptonuria,Cystinosis
6022af1f-be7a-4b78-8cda-43e0bac536e5,"A 28 year old labourer, 3 yrs back presented with penile ulcer which was not treated. Later he presented with neurological symptoms for which he got treated. Which is the test to monitor response to treatment?",0,VDRL,FTA ABS,TPI,RPR
d1155e80-aa21-442e-bea1-3982ad2f31f4,Duhamel procedure is done for -,0,Hirschsprung's disease,HPSS,Meckels diverticulum,Volvulus
