,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name,llm_label,llm_reason
6,2490c0e2-5e57-46de-a276-0163f4b35337,"A female child with virilization, hypertension with low plasma renin diagnosis is :",21α hydroxylase deficiency,11 β hydroxylase deficiency,3β hydroxylase deficiency,Conn’s syndrome,1,single,"9] Congenital adrenal hyperplasia represents a group of autosomal recessive inherited, metabolic errors,
each characterized by decency or total lack of a particular enzyme involved in the biosynthesis of cortical steroids,
Steroidogenesis is then channelled into other pathways leading to increased production of androgens,
which accounts for virilization.
Simultaneously, the decency of cortisol results in increased secretion of ACTH resulting in adrenal hyperplasia.
Following enzymes are implicated in the congenital adrenal hyperplasia 21 α hydroxylase decency (partial or complete) 17 α hydroxylase deficiency 11β hydroxylase
deficiency 21 α hydroxylase deficiency
• Two forms of this deficiency include -
A. Salt-wasting adrenogenital ism
B. Simple Virilizing adrenogenital ism
A) Salt-wasting syndrome (complete lack) The salt wasting syndrome results from complete lack of 21 hydroxylases.
There is no synthesis of mineralocorticoids and glucocorticoids in the adrenal cortex.
Decreased mineralocorticoids causes marked sodium loss in the urine, resulting in hyponatremia, hyperkalemia, acidosis and hypotension.
Because of the enzyme block, there is increased formation of 17 - hydroxyprogesterone, which is then shunted into the production of testosterone.
This may cause virilism (pseudo-hermaphroditism) in female infants.
That is (XX) Female with 21 hydroxylase deficiency develops ovaries,
female ductal structures and external male genitalia. But in the male child, the effect of increased testosterone will not be manifested at the time of birth.
The complete21 hydroxylase deficiency or salt wasting syndrome usually comes to light only after the birth because in utero the electrolytes and uids
can be maintained by maternal kidneys. Males with this disorder comes to clinical attention 5 to 15 days later because of salt losing crisis while
females come to attention soon after the birth because of the virilization.
B) Simple Virilizing adrenogenital syndrome (Partial deficiency) Occurs in individuals
with partial deficiency of 21 hydroxylases Less severe deficiency of mineralocorticoid, is sufficient for salt reabsorption, but the lowered glucocorticoid fails to cause
feedback inhibition of ACTH secretion.
Thus level of aldosterone is mildly reduced, testosterone is increased and ACTH elevated with resultant adrenal hyperplasia.
11B hydroxylase deficiency-. Rare Leads to decreased cortisol and increased ACTH.
This, in turn, leads to the accumulation of DOC (deoxycorticosterone) and 11 deoxycortisol
both of which are strong mineralocorticoids. This results in increased sodium retention by the kidneys and hypertension, hypokalemia.
Patients also develop virilization due to androgen excess. 17 α hydroxylase deficiency - Patients with deficiency of 17 hydroxylases also have impaired cortisol production,
increased ACTH and secondary increased DOC.
These patients, however, cannot synthesize normal amount of androgens and estrogens.
This is because the gene that codes for 17 α hydroxylase is the same for the enzyme in the adrenal cortex and the gonads and the decency is same in both organs.
Because of decreased sex hormones, genotypic females develop primary amenorrhoea and fail to develop secondary sex characteristics while genotypic
males will present as pseudohermaphrodite.
3 β hydroxylase deficiency 3-β hydroxylase deficiency is a rare genetic disorder of steroid biosynthesis that results
in decreased production of all three groups of adrenal steroids which include mineralocorticoid, glucocorticoid and sex steroids.
Decreased mineralocorticoid secretion
results in varying degrees of salt wasting in both males and females.
Decent androgen production results in ambiguous genitalia in males
The usual presentation is a male child with ambiguous genitalia and severe salt wasting. Sometimes it may also occur in females",Medicine,,True,The question is asking for a diagnosis based on symptoms and does not reference specific options.
7,4aaa1979-d835-4536-9c75-19b54a255241,"A young girl presents with abdominal pain and a recent change in bowel habit, with passage of mucus in stool. There is no associated blood in stool and symptoms are increased with stress. The most likely diagnosis is-",Irritable bowel syndrome,Ulcerative colitis,Crohn's disease,Amebiasis,0,single,"Childhood Chronic ill health in childhood or adolescent IBD may result in growth failure, metabolic bone disease and delayed pubey. Loss of schooling and social contact, as well as frequent hospitalisation, can have impoant psychosocial consequences.Treatment is similar to that described for adults and may require glucocoicoids, immunosuppressive drugs, biological agents and surgery. Monitoring of height, weight and sexual development is crucial. Children with IBD should be managed by specialised paediatric gastroenterologists and transitioned to adult care in dedicated clinics . Pregnancy A women's ability to become pregnant is adversely affected by active IBD. Pre-conceptual counselling should focus on optimising disease control. During pregnancy, the rule of thirds applies: roughly one-third of women improve, one-third get worse and one-third remain stable with active disease. In the post-paum period, these changes sometimes reverse spontaneously. Drug therapy, including aminosalicylates, glucocoicoids Delayed growth and pubeal development: chronic active inflammation, malabsorption, malnutrition and long-term glucocoicoids contribute to sho stature and delayed development, with physical and psychological consequences. * Metabolic bone disease: more common with chronic disease beginning in childhood, resulting from chronic inflammation, dietary deficiency and malabsorption of calcium and vitamin D. * Drug side-effects and adherence issues: young people are more likely to require azathioprine or biological therapy than adults. Poor adherence to therapy is more common than with adults, as younger patients may feel well, lack self-motivation to adhere and believe that drugs are ineffective or cause side-effects. * Loss of time from education: physical illness, surgery, fatigue in chronic inflammatory bowel disease, privacy and dignity issues, and social isolation may all contribute. * Emotional difficulties: may result from challenges in coping with illness, problems with forming interpersonal relationships, and issues relating to body image or sexual function. Ref Davidson edition23rd pg823",Medicine,G.I.T,True,The question describes symptoms and allows for a diagnosis based on the provided information.
10,4aed3cb7-f6b2-4bda-b2c0-1230c3e61e34,"3-year-old child comes in ER with Hv'o vomiting, loose watery motion for 3 days, on examination, the child was drowsy, sunken eye. Hypothermia and skin pinch take time to revert back, diagnosis",No dehydration,Mild dehydration,Some dehydration,Severe dehydration,3,single,"on  A child with severe dehydration will have at least two of the following four signs: sensorium is abnormally sleepy or lethargic, sunken eyes, drinking poorly or not at all, and a very slow skin pinch.
A child with some signs of dehydraon will have two of the following: restlessness or irritability, sunken eyes, drinking eagerly or slow skin pinch.
A child with either one or none of these signs is classified as having no signs of death",Pediatrics,,True,"The question presents the clinical scenario and asks for a diagnosis, which can be inferred from the symptoms without needing to see options."
12,226c17a9-13fe-4496-bc2e-5aabce4fef1c,"A 2-week-old baby is irritable and feeding poorly. On physical examination, the infant is irritable, diaphoretic, tachypneic and tachycardic. There is circumoral cyanosis, which is not alleted by nasal oxygen. A systolic thrill and holosystolic murmur are heard along the left sternal border. An echocardiogram reveals a hea defect in which the aoa and pulmonary aery form a single vessel that overrides a ventricular septal defect. What is the appropriate diagnosis?",Atrial septal defect,"Coarctation of aoa, preductal",Patent ductus aeriosus,Truncus aeriosus,3,multi,"Truncus aeriosus refers to a common trunk for the origin of the aoa, pulmonary aeries and coronary aeries. It results from absent or incomplete paitioning of the truncus aeriosus by the spiral septum during development. Most infants with persistent truncus aeriosus have torrential pulmonary blood flow, which leads to hea failure. None of the other choices are distinguished by a single vessel that carries blood from the hea.",Pathology,Cardiac disorders,True,The question can be answered based on the provided clinical information without referencing options.
15,fc4ad074-28fe-4b8f-bde1-79c50dadad98,A 1 year old child is brought to you with delayed milestones. On examination you note that the child is very fair with hypopigmented hair and blue eye. He has also got eczemas. The child was also very irritable. What is your diagnosis?,Albinism,Phenylketonuria,Alkaptonuria,Cystinosis,1,single,"This child is suffering from Phenylketonuria. Here there is inability to conve phenylalanine to tyrosine due to phenylalanine hydroxylase deficiency. The decreased pigmentation in this condition is due to reduced melanin formation. The treatment is a diet low in phenylalanine with tyrosine supplementation. Delay in initiation of treatment will lead to mental retardation. Ref: Essential revision notes for MRCP by Philip A Kalra, Edition 3, Page - 322 ; Harrison, Edition 17, Page - 2470",Pediatrics,,True,The question provides sufficient clinical information to reach a diagnosis without needing options.
16,6022af1f-be7a-4b78-8cda-43e0bac536e5,"A 28 year old labourer, 3 yrs back presented with penile ulcer which was not treated. Later he presented with neurological symptoms for which he got treated. Which is the test to monitor response to treatment?",VDRL,FTA ABS,TPI,RPR,0,single,"This is a case of neurosyphilis. A positive nontreponemal CSF serologic test result (CSF VDRL) establishes the diagnosis of neurosyphilis (and an increased cell count in response to the spirochete documents the presence of active disease). In VDRL test, the inactivated serum is mixed with cardiolipin antigen on a special slide & rotated for 4 minutes. Cardiolipin remains as uniform crystals in normal serum but it forms visible clumps on combining with regain antibody. The reaction is read under low power microscope. By testing serial dilutions, the antibody titre can be estimated. The results are repoed as reactive, weak by reactive / not reactive. The VDRL test can be used for testing CSF also, but not plasma. A number of modification of VDRL test have been developed, of which the Rapid Plasma Reagin (RPR) is the most popular. In RPR test. VDRL antigen containing carbon paicles which make the result more clear cut & evident to the naked eye The RPR test is done with unheated serum / plasma but is not suitable for testing CSF. Ref: Ananthanarayanan & Paniker's textbook of microbiology Ed 8 Pg - 375; Klausner J.D., Hook III E.W. (2007). Chapter 20. Neurosyphilis. In J.D. Klausner, E.W. Hook III (Eds), CURRENT Diagnosis & Treatment of Sexually Transmitted Diseases.",Microbiology,,True,The question can be answered based on medical knowledge regarding monitoring treatment response without needing options.
17,d1155e80-aa21-442e-bea1-3982ad2f31f4,Duhamel procedure is done for -,Hirschsprung's disease,HPSS,Meckels diverticulum,Volvulus,0,single,"Ans. is 'a' i.e., Hirschsprung's disease * Surgery in Hirschsprung's disease aims to remove the aganglionic segment and 'pull-through' ganglionic bowel to the anus (e.g. Swenson, Duhamel, Soave and transanal procedures) and can be done in a single stage or in several stages after first establishing a proximal stoma in normally innervated bowel.",Surgery,Small & Large Intestine,True,The question is asking for a specific procedure and does not reference options.
20,012fcc39-b037-46f3-8a0e-1dfe556a6165,A six year old male baby presents to a hospital with recurrent gross hematuria for 2 years. There is no h/o burning micturition or pyuria. Urine routine examination demonstrated no pus cells and urine culture was sterile. Serum C3 levels were normal. What is the most probable diagnosis-,Wilm's tumour,IgA nephropathy,Post-streptococcal glomerulonephritis,Urinaiy tract infection,0,single,"Wilms tumor is a rare kidney cancer that is highly treatable. Most kids with Wilms tumor survive and go on to live normal, healthy lives. Also known as nephroblastoma, Wilms tumor can affect both kidneys, but usually develops in just one Wilms' Tumor; Nephroblastoma) Wilms tumor is an embryonal cancer of the kidney composed of blastemal, stromal, and epithelial elements. Genetic abnormalities have been implicated in the pathogenesis, but familial inheritance accounts for only 1 to 2% of cases. Diagnosis is by ultrasonography, abdominal CT, or MRI The AMER1 gene is located on the X chromosome (one of the two sex chromosomes), so when Wilms tumor is caused by mutations in this gene, the condition follows an X-linked dominant pattern Ref Harrison20th edition pg 233",Medicine,Kidney,True,"The question asks for a diagnosis based on provided clinical information, which can be deduced without options."
28,805e7f24-2c61-4783-92de-e8757acfc270,"A 38 year old male has paroxysmal hypeension. He is subsequently found to have medullary carcinoma of the thyroid, pheochromocytoma, and mucosal neuromas. Parathyroid involvement is not noted. What is the most likely diagnosis?",MEN type I,MEN type II,MEN type III,Sipple's syndrome,2,single,"MEN III, also known as MEN IIb, is characterized by medullary thyroid carcinoma, pheochromocytoma, and mucosal neuromas.Wermer's syndrome is also called MEN type I . It is characterized by pancreatic (insulinoma), pituitary, and parathyroid involvement.Sipple's syndrome, or MEN type II , is similar to MEN III, but it has parathyroid involvement (tumor or adenoma) as opposed to neuromas. Ref: Wyatt C., Butterwoh IV J.F., Moos P.J., Mackey D.C., Brown T.G. (2008). Chapter 18. Endocrine Pathology. In C. Wyatt, J.F. Butterwoh IV, P.J. Moos, D.C. Mackey, T.G. Brown (Eds), Pathology: The Big Picture.",Pathology,,True,"The question asks for a likely diagnosis based on provided clinical information, which can be inferred without options."
32,aaa09f14-d097-401e-a543-a9a9e4fa9a7d,A patient was diagnosed with schizophrenia and was staed on haloperidol 5mg. On 3rd day he presented with uprolling of eyes. A complete neurological examination revealed no spasticity or any other abnormalities except uprolling of eyeballs. Visual acuity was found to be normal. What is your likely diagnosis?,Seizure,Acute dystonia,Malingering,Akathesia,1,multi,"* <48 hours of staing antipsychotics * M.C in======Younger black males * If a patient develops dystonia he is more prone for eps Patient considers this as an Allergic reaction , thereby may stop drugs Layryngeal dystonia is a Psychiatric emergency, should be treated with IV lorazepam TREATMENT * Diphenhydramine * Benztropine mesylate * Prophylactic anticholinergics helps Ref.Kaplon and sadock, synopsis of psychiatry, 11 th edition, pg no. 923",Psychiatry,Pharmacotherapy in psychiatry,True,The question can be answered based on the symptoms described without needing options.
