subject_name,question,opa,opb,opc,opd
Anaesthesia,"A 72-year-old man with diabetes, renal insufficiency, and coronary aery disease presents in septic shock from emphysematous cholecystitis. His oxygen saturation is 100% on 6-L nasal cannula and his hemoglobin is 7.2 mg/dL. His mixed venous oxygen saturation is 58%. Which of the following treatment options will improve his oxygen delivery the most?",Increase his inspired oxygen concentration,Transfer him to a hyperbaric chamber,Administer an erythropoietic agent,Transfuse two units of packed red blood cells
Anaesthesia,A 30-year-old woman in her last trimester of pregnancy suddenly develops massive swelling of the left lower extremity. Which of the following would be the most appropriate workup and treatment at this time,Venography and heparin,Duplex ultrasonography and heparin,"Duplex ultrasonography, heparin, and vena caval filter","Duplex ultrasonography, heparin, warfarin (Coumadin)"
Anaesthesia,"A 63-year-old man with a 40-pack per year smoking history undergoes a low anterior resection for rectal cancer and on postoperative day 5 develops a fever, new infiltrate on chest x-ray, and leukocytosis. He is transferred to the ICU for treatment of his pneumonia because of clinical deterioration. Which of the following is a sign of early sepsis?",Respiratory acidosis,Decreased cardiac output,Hypoglycemia,Peripheral vasodilation
Anaesthesia,"A 43-year-old woman develops acute renal failure following an emergency resection of a leaking abdominal aoic aneurysm. One week after surgery, the following laboratory values are obtained: Serum electrolytes (mEq/L): Na + 127, K+ 5.9, Cl - 92, HCO3 - 15 Blood urea nitrogen: 82 mg/dL Serum creatinine: 6.7 mg/dL The patient has gained 4 kg since surgery and is mildly dyspneic at rest. Eight hours after these values are repoed, the following electrocardiogram is obtained. Which of the following is the most appropriate initial treatment in the management of this patient?",10 mL of 10% calcium gluconate,0.25 mg digoxin every 3 hours for 3 doses,100 mg lidocaine,Emergent hemodialysis
Anaesthesia,A 63-year-old man undergoes a paial gastrectomy with Billroth II reconstruction for intractable peptic ulcer disease. He presents several months postoperatively with a megaloblastic anemia. Which of the following is the best treatment for this surgical complication?,Transfusion with 1 unit of packed red blood cells,Oral iron supplementation,Oral vitamin B12 supplementation,Intravenous vitamin B12 (cyanocobalamin) supplementation
Anaesthesia,The following are used for treatment of postoperative nausea and vomiting following squint surgery in children except:,Ketamine,Ondansetron,Propofol,Dexamethasone
Anaesthesia,"Sholy after the administration of an inhalational anesthetic and succinylcholine for intubation prior to an elective inguinal hernia repair in a 10-year-old boy, he becomes markedly febrile, displays a tachycardia of 160, and his urine changes color to a dark red. Which of the following is the most appropriate treatment at this time?",Complete the procedure but pretreat with dantrolene prior to future elective surgery.,Administer inhalational anesthetic agents.,Administer succinylcholine,Hyperventilate with 100% O2 .
Anaesthesia,Which of the following is the first treatment for an anesthetized patient experiencing bronchospasm,Administer inhalational beta-2 agonists,Administer intravenous epinephrine,Administer additional anesthetic,Administer neuromuscular blocking agent
Anaesthesia,"A 73-year-old woman with a long history of heavy smoking undergoes femoral aery-popliteal aery bypass for rest pain in her left leg. Because of serious underlying respiratory insufficiency, she continues to require ventilatory suppo for 4 days after her operation. As soon as her endotracheal tube is removed, she begins complaining of vague upper abdominal pain. She has daily fever spikes of 39degC (102.2degF) and a leukocyte count of 18,000/mL. An upper abdominal ultrasonogram reveals a dilated gallbladder, but no stones are seen. A presumptive diagnosis of acalculous cholecystitis is made. Which of the following is the next best step in her treatment?",Nasogastric suction and broad-spectrum antibiotics,Immediate cholecystectomy with operative cholangiogram,Percutaneous drainage of the gallbladder,Endoscopic retrograde cholangiopancreatography (ERCP) to visualize and drain the common bile duct
Anaesthesia,The following are used for treatment of postoperative nausea and vomiting following squint surgery in children except –,Ketamine,Ondansetron,Propofol,Dexamethasone
Anaesthesia,"A 35 year old male underwent the following procedure before his surgery, After 2 days he developed headache which gets relieved by lying down.What is the definitive treatment for this?",NSAIDs and caffeine,Physiotherapy,Autologous blood patch,Caffeine
Anaesthesia,The following are used for treatment of postoperative nausea and vomiting following squint surgery in children except:-,Propofol,Ketamine,Dexamethasone,Ondansetron
Anaesthesia,A 59-year-old man is planning to undergo a coronary aery bypass. He has osteoahritis and consumes nonsteroidal anti-inflammatory drugs (NSAIDs) for the pain. Which of the following is the most appropriate treatment prior to surgery to minimize his risk of bleeding from his NSAID use?,Begin vitamin K 1 week prior to surgery.,Give FFP few hours before surgery,Stop the NSAIDs 1 week prior to surgery.,Stop the NSAIDs 3 to 4 days prior to surgery.
Anatomy,In a patient with compensated liver cirrhosis presented with history of variceal bleed. The treatment of choice in this patient is,Propanalol,Liver transplantation,TIPS(Transjugular intra hepatic poal shunt),Endoscopic sclerotherapy
Anatomy,"In patient with chronic pancreatitis limited to tail and body with MPD diameter 4mm, ideal treatment would be",Stenting,Puestow's operation,Frey's operation,Distal pancreatectomy
Anatomy,Patient a known case off alcohol dependence after 12 to 18 hrs of last drink develops seizure for the first time in his life.possible diagnosis is rum fits. treatment for the above patient,.phenytoin,IV THIAMINE,Lorazepam,clobazam
