,id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
437,07cb00a8-27aa-4917-a9b9-369c38b87aac,"Ramachandran is on the surgical ward with non-seminomatous tumor of testis and more than 4 retroperitoneal lymph nodes involved. You are the resident who is making a decision about fuher management. The treatment include all of the following, except:",Retroperitoneal Lymph Node Dissection (RPLND),Inguinal orchiectomy,Chemotherapy,Radiotherapy,3,multi,"Inguinal orchiectomy with high ligation of the cord at the internal ring is the initial management of testicular tumour. Multi Agent chemotherapy and followed by surgical resection is one modality of treatment. Ref: Bailey & Love, 25th Edition, Page 1269.",Surgery,
590,65f2ce5a-dd89-45fc-a2cd-5f369acffe77,"A 9-year-old boy diagnosed as uncomplicated pulmonary tuberculosis. He is put on isoniazid, rifampin, and ethambutol at home after initial treatment given at hospital. Which is accurate statement for this scenario?",His 3-year-old sibling should receive INH prophylaxis,A baseline test of auditory function test is essential before drug treatment is initiated,Polyahralgia is a potential adverse effect of the drugs the boy is taking,"His mother, who takes care of him, does not need INH prophylaxis",0,multi,Prophylaxis with INH is always advisable for family members and close contacts in active cases. None of the drugs prescribed is associated with nephrotoxicity. Polyahralgia is a side effect of pyrazinamide that's not given in this case. Routine LFTs should be done in younger patients if INH plus rifampin given in higher doses. Ocular Function test should be done before staing ethambutol.,Pharmacology,"Mycobacterial Diseases (TB, Leprosy and MAC)"
615,6022af1f-be7a-4b78-8cda-43e0bac536e5,"A 28 year old labourer, 3 yrs back presented with penile ulcer which was not treated. Later he presented with neurological symptoms for which he got treated. Which is the test to monitor response to treatment?",VDRL,FTA ABS,TPI,RPR,0,single,"This is a case of neurosyphilis. A positive nontreponemal CSF serologic test result (CSF VDRL) establishes the diagnosis of neurosyphilis (and an increased cell count in response to the spirochete documents the presence of active disease). In VDRL test, the inactivated serum is mixed with cardiolipin antigen on a special slide & rotated for 4 minutes. Cardiolipin remains as uniform crystals in normal serum but it forms visible clumps on combining with regain antibody. The reaction is read under low power microscope. By testing serial dilutions, the antibody titre can be estimated. The results are repoed as reactive, weak by reactive / not reactive. The VDRL test can be used for testing CSF also, but not plasma. A number of modification of VDRL test have been developed, of which the Rapid Plasma Reagin (RPR) is the most popular. In RPR test. VDRL antigen containing carbon paicles which make the result more clear cut & evident to the naked eye The RPR test is done with unheated serum / plasma but is not suitable for testing CSF. Ref: Ananthanarayanan & Paniker's textbook of microbiology Ed 8 Pg - 375; Klausner J.D., Hook III E.W. (2007). Chapter 20. Neurosyphilis. In J.D. Klausner, E.W. Hook III (Eds), CURRENT Diagnosis & Treatment of Sexually Transmitted Diseases.",Microbiology,
691,9d193952-cd22-4aab-a77e-c28dbfa697ea,A patient present with lower gastrointestinal bleed. Sigmoidoscopy shows ulcers inthe sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment -,Intravenous ceftriaxone,Intravenous metronidazole,Intravenous steroids and sulphasalazine,Hydrocoisone enemas,1,single,"This may be caused by haemorrhage from the colon, anal canal or small bowel. It is useful to distinguish those patients who present with profuse, acute bleeding from those who present with chronic or subacute bleeding of lesser severity .Severe acute lower gastrointestinal bleeding .This presents with profuse red or maroon diarrhoea and with shock. Diveicular disease is the most common cause and is often due to erosion of an aery within the mouth of a diveiculum. Bleeding almost always stops spontaneously, but if it does not, the diseased segment of colon should be resected after confirmation of the site by angiography or colonoscopy. Angiodysplasia is a disease of the elderly, in which vascular malformations develop in the proximal colon. Bleeding can be acute and profuse; it usually stops spontaneously but commonly recurs. Diagnosis is often difficult. Colonoscopy may reveal characteristic vascular spots and, in the acute phase, visceral angiography can show bleeding into the intestinal lumen and an abnormal large, draining vein. In some patients, diagnosis is achieved only by laparotomy with on-table colonoscopy. The treatment of choice is endoscopic thermal ablation but resection of the affected bowel may be required if bleeding continues. Bowel ischaemia due to occlusion of the inferior mesenteric aery can present with abdominal colic and rectal bleeding. It should be considered in patients (paicularly the elderly) who have evidence of generalised atherosclerosis. The diagnosis is made at colonoscopy. Resection is required only in the presence of peritonitis. Meckel's diveiculum with ectopic gastric epithelium may ulcerate and erode into a major aery. The diagnosis should be considered in children or adolescents who present with profuse or recurrent lower gastrointestinal bleeding. A Meckel's 99mTc-peechnetate scan is sometimes positive but the diagnosis is commonly made only by laparotomy, at which time the diveiculum is excised Primary prevention of variceal bleeding If non-bleeding varices are identified at endoscopy, b-adrenoceptor antagonist (b-blocker) therapy with propranolol (80-160 mg/day) or nadolol (40-240 mg/day) is effective in reducing poal venous pressure. Administration of these drugs at doses that reduce the hea rate by 25% has been shown to be effective in the primary prevention of variceal bleeding. In patients with cirrhosis, treatment with propranolol reduces variceal bleeding by 47% (number needed to treat for benefit (NNTB) 10), death from bleeding by 45% (NNTB 25) and overall moality by 22% (NNTB 16). The efficacy of b-blockers in primary prevention is similar to that of prophylactic banding, which may also be considered, paicularly in patients who are unable to tolerate or adhere to b-blocker therapy. Carvedilol, a non-cardioselective vasodilating b-blocker, is also effective and may be better tolerated at doses of 6.25-12.5 mg/day). For these, dose should be titrated, as tolerated, to achieve a hea rate of 50-55 beats/min, if possible.metrandazole can be given sigmoidal ulcer Ref Davidson edition23rd pg 869",Medicine,G.I.T
708,5fb4705e-3b44-41da-ad08-25688404bdab,"A 70 - year- old man was administered penicilline intravenously. Within 5 minutes, he developed genralised urticaria, swelling of lips, hypotension and bronchospasm. The first choice of treatment is to administer:",chlorphenitramine inj.,Epinephrine inj.,High dose hydrocortisone tablet,nebulised salbutamol,1,single,"Ans. is 'b' i.e. epinephrine injection Urticaria, swelling of lips, hypotension and bronchospasm within 5 minutes of i.v penicillin suggests anaphylactic reaction. It's a major problem with the use of penicillin.The t/t of choice for anaphylaxis is i.v epinephrine.",Pharmacology,Penicillin & Cephalosporin
849,59165dbb-66fe-4ccd-bd9f-26c60ca3c161,"A female, Lalita, aged 26 yrs accidentally takes 100 tablets of paracetamol. What is the treatment of choice -",Lavage with charcoal,Dialysis,Alkaline diuresis,Acetylcysteine,3,multi,"Ans. is 'd' i.e Acetylcysteine ""In cases of moderate to severe poisoning N acetylcysteine (Mucomyst) should be given orally. It is most effective when given within 16-24 hours of overdosage. It prevents hepatic damage"". - Parikh",Unknown,
953,a227a262-f152-49e8-a5ea-cde7ea09eb7c,"A child has mid-crown fracture in a permanent
maxillary central incisor several months ago, the pulp is now necrotic, radiographic examination reveals an incompletely formed root with an open apex. The treatment of choice is:",Formocresol pulpotomy,Root canal therapy,Calcium hydroxide pulpotomy,Apexification,3,single,"Apexification is the process of inducing the development of the root and the apical closure in an immature pulpless tooth with an open apex.
The main aim of apexification is to preserve the Hertwig’s root sheath and apical pulp tissue.

Ref: Textbook of endodontics, Nisha Garg and Amit Garg, 3rd edition, pg no:548",Dental,
1053,9ec100e0-c6b0-4164-b3c6-a2685e2a4cd3,"A 4-month-old infant has undergone surgical treatment for meningomyeloencephalocele. At bih, an operation was carried out in the posterior cranial fossa to paially replace brain cerebellar contents to an intracranial position. In investigations for progressive hydrocephalus, it is noted that there is herniation of the cerebellar tonsils through the foramen magnum, and a diagnosis of Arnold-Chiari syndrome is established. This syndrome may also include which of the following?",Fusion of the frontal lobes,"Fusion of the temporal, parietal, and occipital lobes",Abnormal elongation of the medulla and lower cranial nerves,Paial or complete absence of the pituitary gland,2,multi,"Abnormal elongation of the medulla and lower cranial nerves may be evident in Arnold-Chiari syndrome. Additional features include fusion of the corpora quadrigemina, leading to a ""beaked"" tectum; paial or complete absence of the corpus callosum; and microgyria.",Surgery,Cerebrovascular Diseases
1261,039cc18f-f538-49d4-bd6a-a8e7028cf7a7,"A child with vesicoureteric reflex of grade 2 comes to OPD. What is the
preferred treatment method",Antibiotics,Observation,Sting operation,Ureteric reimplantation,0,single,Prophalyctatic antibiotics is given to all vesicoureteric reflex pts.,Surgery,
1335,81e801d1-39cc-4d64-ab64-10619c171673,An eleven year old boy is having tinea capitis on his scalp. The most appropriate line of treatment is –,Oral griseofulvin therapy,Topical griseofulvin therapy,Shaving of the scalp,Selenium sulphide shampoo,0,single,"Systemic therapy for all dermatophytosis

Terbinafm  → DOC
Griseofulvin → 2nd choice

Once the mainstay of systemic therapy for dermatophytic infection, has now replaced by terbinafine.",Dental,
1556,50aa4b96-c396-4f83-9f80-06d48747e5d6,A 7-year-old boy has severe microcytic anemia due to beta-thalassemia major (homozygous). He requires frequent blood transfusions (once every 6 weeks) to prevent the skeletal and developmental complications of thalassemia. Which of the following medications is also indicated in the treatment of patients requiring frequent blood transfusions?,oral calcium supplements,fresh frozen plasma (FFP),desferrioxamine,penicillamine,2,single,"Iron chelation with desferrioxamine will reduce the toxicity from iron overload if given regularly in high doses. The most lethal toxicity of iron overload is iron infiltration of the myocardium, with resultant dysfunction and death. Penicillamine has no role in the treatment of thalassemia patients requiring frequent transfusions. As well FFP, and cryoprecipitate are not indicated in the management of patients with thalassemia as there are no defects in thrombosis or coagulation.",Medicine,Blood
1628,b3809ff9-ba9a-4aa0-a8b0-d11acaf1e6c9,"A 41-year-old male patient presented with recurrent episodes of bloody diarrhoea for 5 years. Despite regular treatment with adequate doses of sulfasalazine, he has had several exacerbations of his disease and required several weeks of steroids for the control for flares. What should be the next line of treatment for him?",Methotrexate,Azathioprine,Cyclosporine,Cyclophosphamide,1,single,,Medicine,
