id,question,manual_label,llm_sound,llm_answerable,llm_label
03fc9796-972f-4ae6-8ebd-f86fcd7fed1f,"Which of the following human malignancy is highly malignant, rapidly progressive and delay in treatment of even 1-2 days can lead death?",False,False,True,True
04f63c22-157d-4d25-bdae-2ffc1b0b57c2,Cat bites in child treatment - false is,False,False,True,True
05fd397f-6c46-4056-9871-f30f2d4efca0,"A 30-year-old female, known case of PCOD, on treatment presented to the gynecologist with complaints of hirsutism. She was given a topical application cream which acted by inhibiting ornithine decarboxylase enzyme. The same drug is useful in management of which of the following parasitic infection?",False,True,True,True
10c6d10b-6cf9-4e70-9c78-bcfc14b99161,A patient has syphilis since 2 year. CSF examination was done & treatment staed. Which of the following test is most useful in monitoring treatment,False,False,True,True
12b85284-0226-49be-a7ed-6f8012c1b072,"A 40-year-old P3L3 woman complains of urgency and hesitancy. Fuher some- times she gets the urge to void, but passes urine before reaching washroom. She had three normal spontaneous vaginal deliveries of infants weighing between 3.5 and 3.8 kg. Urine examination is normal. All of the following are appropriate treatments in the management of this patient Except",False,True,True,True
17a709d8-5c6d-417b-b116-ebab59d3d0b3,"A 50-year-old woman has had easy fatigability and noted a dragging sensation in her abdomen for the past 5 months. Physical examination reveals that she is afebrile. She has marked splenomegaly, but no lymphadenopathy. Laboratory studies show her total WBC count is 250,000/mm3 with WBC differential count showing 64% segmented neutrophils, 11% band neutrophils, 7% metamyelocytes, 5% myelocytes, 4% myeloblasts, 3% lymphocytes, 2% basophils, 2% eosinophils, and 2% monocytes. A bone marrow biopsy is performed, and karyotypic analysis of the cells reveals a t (9;22) translocation. Medical treatment with a drug having which of the following modes of action is most likely to produce a complete remission in this patient?",False,False,True,True
180fe749-7961-4d57-b0ad-108a3bab50ae,A patient presents with lower gastrointestinal bleed. Sigmoidoscopy shows ulcer in the sigmoid. Biopsy from this area shows flask-shaped ulcers. Which of the following is the most appropriate treatment ?,False,True,True,True
1bd79326-19ac-41f3-a7a1-3486d0dd734f,"A 35-year-old woman complains of vaginal discomfort for 2 weeks. Physical examination reveals a scanty vaginal discharge. The fluid develops a ""fishy"" odor after treatment with 10% potassium hydroxide. A Pap smear taken during the pelvic examination shows squamous cells covered by coccobacilli (""clue"" cells). Which of the following is the most likely etiology of vaginal discomfort in this patient?",False,False,True,True
1ea52dac-423b-484a-b1b3-0d1617b05f97,What treatment should not be required for the patient with grade II furcation involvement?,False,True,True,True
25d7fe2d-3344-464a-a058-fec949a7d49a,"A 66-year-old woman presents with a 6-month history of scaling and abnormal pigmentation of the skin. Her past medical history is significant for the treatment of thyroid cancer 1 year ago. Biopsy of lesional skin shows atrophy of the epidermis and dense fibrosis of the dermis, which displays dilated superficial blood vessels. These pathologic findings are most likely caused by previous exposure to which of the following?",False,True,True,True
2e68a778-d1ca-4b97-95d4-3eff0a883076,A male 45 year old presents to the clinic for routine checkup. He is a known case of hypertension and is under treatment. The clinician advises him to have a balanced diet involving which of the following fatty acids?,False,False,True,True
2fe18524-63e2-4dae-9057-b495ce0a70c3,A 28-year-old female with folliculitis is not responsive to a 10-day treatment course with penicillin. An enzyme produced by the etiologic agent is most likely responsible for this treatment failure. At which site on the molecule shown does this enzyme act to destroy penicillin?,False,True,True,True
36d54047-941b-45d7-8218-d3550112276c,A 45 year old female patient comes to the clinic for routine general checkup. She is a known diabetic and is on oral hypoglycaemic drug (Gliconil). On general examination truncal obesity is seen. The agent used in the treatment of this patient acts by inhibiting which of the following ?,False,False,True,True
3ad94f2d-2b60-4fac-9c8e-fe4ace77fe1d,"A 17 year old woman notices that her urine becomes red after she is given sulfonamides for treatment of a urinary tract infection. Both urine and serum test positive for free hemoglobin, and the urine red cell count is 1.2 million/mm3. A peripheral blood smear showed normocytic and normochromic red cells and a few ""bite cells."" Deficiency of which of the following substances is most likely responsible for these symptoms?",False,False,True,True
456b9393-4dbc-4767-a305-8d6b72868b2f,A 24 year old man presents with multiple small hypopigmented patches around hair follicles on upper chest and back. These macules were with fine scaling which coalesced later. He had received treatment 1 year back for the same type of lesion. Which of the following investigation should be done to diagnose this condition?,False,False,True,True
4591dbf7-df2c-4d7f-8adf-602bfa5ed472,A patient is receiving insulin and acarbose for diabetes mellitus and developed hypoglycemia. Which of the following should be used for the treatment of hypoglycemia in this patient?,False,True,True,True
4a166dc8-7ca3-45cb-bf6d-cda4b6d27612,"A 47-year old male, Kishore exhibited signs and symptoms of acromegaly. Radiologic studies showed the presence of a large pituitary tumor. Surgical treatment of the tumor was only paially effective in controlling the disease. At this point, which of the following drugs is most likely to be used as pharmacological therapy?",False,False,True,True
4bc59e07-27fc-4352-80dc-7c0b3336b0e8,"A 34 year old rickshaw puller has been using heroin for the past ten years. One evening his family members found him unconscious. He was brought to the casualty. On examination he had bradycardia, shallow breathing, constricted pupils. His blood pressure was 100/70 mm of Hg. He had brisk bilateral deep tendon reflexes. The plantar reflexes were flexor on both sides. Which of the following is the best treatment for him ?",False,False,True,True
4dc21adc-9e4e-479c-95be-fe006709fca3,A 40-year-old woman with leukemia is treated with chemotherapy. During treatment she develops increasing cough and shoness of breath. A chest X-ray shows diffuse lung infiltrates. Sputum cultures are negative and the patient does not respond to routine antibiotic therapy. An open lung biopsy is diagnosed by the pathologist as viral pneumonia. Which of the following histopathologic findings would be expected in the lungs of this patient?,False,True,True,True
53081504-2ada-4615-a714-68d94f0890c5,"A 34-year old rickshaw puller has been using heroin for the past ten years. One evening his family members found him unconscious. He was brought to the casualty. On examination he had tachycardia, shallow breathing, constricted pupils. His blood pressure was 100/70 mm of Hg. He had brisk bilateral deep tendon reflexes. The planter reflexes were flexor on both sides. Which of the following is the best treatment for him?",False,False,True,True
536b6cc0-42ea-43b2-abe3-5399d150627e,A 40 year old patient is suffering from carotid body tumor. Which of the following is the best choice of treatment for him-,False,False,True,True
54b18f77-f1b1-46b9-84e5-691eb6138577,"A patient with anaphylactic shock, after receiving penicillin injection comes to you, Which of the following life-saving treatment you would take into consideration",False,False,True,True
