id,llm_sound,llm_answerable
0203b828-6d87-4401-a595-2641e724a84a,False,False
023d8cff-cf4b-4485-82d6-0e3383c0a232,True,True
03fc9796-972f-4ae6-8ebd-f86fcd7fed1f,False,False
045f9534-2b60-4d2a-8eab-679494476682,False,False
04f63c22-157d-4d25-bdae-2ffc1b0b57c2,False,False
05fd397f-6c46-4056-9871-f30f2d4efca0,False,False
08a6aa09-52ff-43c3-9b83-b3753ac803b5,True,True
0aef8d53-0899-41e8-9398-a43e999e6e08,True,True
0c6a4e54-9b06-4f12-b10e-0a0718c4a0d1,False,False
0ca248ee-2699-4002-9085-c040ecbdeb8b,True,True
0d2e3f63-564b-4eb7-9792-33d692c71b8d,False,False
0e746940-694c-468a-8051-b85079b820f5,False,False
0ea051c6-7db4-4c43-b484-56079c7175e4,False,False
0efe8fdf-6c20-48b5-9ff3-2529ae87d2f9,False,False
10490e24-5eaa-4264-b53d-a58e8eedaa5f,False,False
105706eb-7c92-40cc-bf8b-70617a8a703b,False,False
10c6d10b-6cf9-4e70-9c78-bcfc14b99161,False,False
12b85284-0226-49be-a7ed-6f8012c1b072,False,False
1332ada1-35f2-4605-9613-489d21690563,False,False
1396001d-1606-4185-9338-20aea9759565,False,False
15195d5c-2155-4fce-bf10-d0be3cb71983,False,False
1730c147-1806-4631-b6a8-18b916e82939,False,False
1759b7f4-7d65-41fc-8bba-a181a952c2f0,False,False
17a709d8-5c6d-417b-b116-ebab59d3d0b3,False,False
17c85ecf-8a6a-4ebe-90e0-bd1cb7ff3484,False,False
180fe749-7961-4d57-b0ad-108a3bab50ae,False,False
18111b17-10e3-445d-9e5a-b8ed5100c223,False,False
1926e768-1dfb-4f02-9bf6-764adaad8950,False,False
1a93d1b1-43e5-4e0f-9c9e-45f7b054874d,False,False
1b6e1870-2936-48c7-bd50-bc9b7f202608,False,False
1bd79326-19ac-41f3-a7a1-3486d0dd734f,False,False
1c2d6992-d17e-4a19-a791-1b964a7084a5,False,False
1d10e003-de40-41cf-bed2-a0bcaa5fac1a,False,False
1e041e32-9ffd-46b4-9806-3847d5b95ec9,False,False
1ea52dac-423b-484a-b1b3-0d1617b05f97,True,True
1ec8354c-2b45-485e-b21c-5af6279eb433,False,False
1ecbcb6f-d705-49d8-b22b-df2cd6034036,False,False
1ee6fb74-c5c4-4509-b652-fe9967e9ac39,True,True
1effb4c6-5a9a-4c3e-a52c-b3fa98b62308,False,False
1f1617c0-f276-4675-a537-b8ec99f13aff,False,False
1f58fc36-57f3-4164-929a-058e3bd97a8f,False,False
2034031b-c816-400f-bc77-9e7cfbb73c19,True,True
2236cf1a-77ff-4ad1-9772-60404866563c,False,False
232992ec-57ea-4a73-a2e5-2f034457734f,False,False
24baad6d-88ad-42f1-9201-9e05ca1a5e59,False,False
24e6e46a-91bb-4c8d-9047-170fe6250e05,True,True
25d7fe2d-3344-464a-a058-fec949a7d49a,False,False
274f448e-ca3d-464d-99bf-ac037040f0c8,True,True
29b10a13-aa1e-4d5a-80da-981e02822581,False,False
29b67df8-c8e0-4768-86db-8abe0ef6824a,False,False
29c7995a-3c3f-4d9c-8d26-8234c06086b8,False,False
29ebc84c-b9ad-4f7c-b586-fb4559d3cd3f,True,True
2acc0057-bcb5-4381-b4c5-9d7fb32a1814,False,False
2c3683bb-f40b-40e9-b1bc-88c7735a7365,False,False
2cbcf950-fcda-4089-972c-a8d7090fb8ec,True,True
2d48cae1-1034-49c4-ac7f-c149443edd6d,False,False
2e0313aa-ae3e-4733-bd39-dfbc797574fe,True,True
2e1b983b-196f-4df6-b200-caec5eb1f20d,False,False
2e68a778-d1ca-4b97-95d4-3eff0a883076,False,False
2e797f75-1b22-4e57-8f5c-3fa2a8fa9370,False,False
2ef93653-ee52-4293-9442-6a9aacc99a3a,False,False
2fe18524-63e2-4dae-9057-b495ce0a70c3,True,True
301038fb-e740-477c-b496-05ec411ab0a1,False,False
304a8fcb-e37f-4766-8ddb-d0ef8f9a20a8,True,True
32686660-bd52-4bdf-94b7-9e68adf4cdd3,True,True
351fd3dd-58da-40d7-a214-6025684ff8e2,False,False
3596819f-e711-4fd8-9a95-3dfe3b5887a4,False,False
36d41b07-8c5a-4823-85f3-f3b9bc433ee1,False,False
36d54047-941b-45d7-8218-d3550112276c,False,False
391aceb0-97a8-4c1e-87c8-db16a278691b,True,True
395c316f-dbf2-406b-8705-0288aebfb39c,False,False
3a80b273-d000-4ddd-a53e-e7c8841486b5,True,True
3ad94f2d-2b60-4fac-9c8e-fe4ace77fe1d,False,False
3b066899-f07f-49f5-aaf6-285a5f1ab55e,True,True
3bec1100-b202-43d3-9089-93db6dc7c9f1,True,True
3d9501d5-d317-474b-915f-21067e4c344d,False,False
3e95b7f8-e668-4695-9021-0a286d1662e2,False,False
3f4a161c-f204-4e77-b2e9-4563ca53c696,False,False
3f8df8a1-2624-4149-996f-8b25e655a6b6,False,False
3fb8347f-b387-471a-9f09-6f668ab8b23d,True,True
425bfa6b-b71d-466e-b1ac-fdd332a01f58,False,False
43379943-b871-4747-965f-9d9a7983f831,True,True
44f748c7-5f7b-4557-8ec8-481a36f6830e,False,False
45538594-96b4-4c11-bfb3-65f6818b59eb,True,True
456b9393-4dbc-4767-a305-8d6b72868b2f,False,False
4591dbf7-df2c-4d7f-8adf-602bfa5ed472,False,False
45aacccb-684e-46a7-83d1-985dad5ae90e,True,True
45ab2412-6362-49d8-b7dd-dbf406231dd0,True,True
45b320ec-479c-42f6-a892-e2df3f247359,False,False
46e28a7f-b3f9-43de-a2cf-ccf3db103707,False,False
4a166dc8-7ca3-45cb-bf6d-cda4b6d27612,False,False
4bc59e07-27fc-4352-80dc-7c0b3336b0e8,False,False
4c0fc21a-c4c9-4ec8-b217-98b5f007ad41,False,False
4d3842e8-ce99-40cd-b94c-5bf45756b99e,False,False
4dc21adc-9e4e-479c-95be-fe006709fca3,False,False
4fb049af-6dc2-460d-83ab-9a86f15d6068,False,False
53081504-2ada-4615-a714-68d94f0890c5,False,False
536b6cc0-42ea-43b2-abe3-5399d150627e,False,False
54b18f77-f1b1-46b9-84e5-691eb6138577,False,False
57aec219-f16a-41c4-b099-5e196c96d78e,False,False
57c35284-4271-4a28-ba94-8ef8ce2dae1f,True,True
5adb6108-ec87-4402-92c3-7ad6b407a689,True,True
5bb639e1-e5b6-4762-88b3-0436ccd5da17,False,False
5c17c0db-c0ec-4c3e-900e-211acdd097b2,False,False
5c54792f-89f0-40ac-81c0-b34dd9f7c168,False,False
5cb5adf1-ac54-4390-9768-40ee00845635,False,False
6022af1f-be7a-4b78-8cda-43e0bac536e5,True,True
60c66343-fee2-45fa-91a5-0270ee9d94ff,False,False
61ff3b46-cce3-4968-90a2-1709ecd1448d,False,False
62b4bca1-4dc8-40e3-8da9-416ca37b58bd,False,False
62bf6891-c5d5-40f1-8c90-80bb832e0319,False,False
63826197-0786-43c2-9c7e-5c4c471dc731,False,False
639b909f-3e90-41b1-b076-12857dd882d0,True,True
65db367a-efe7-427c-8dd1-1d48452d9333,False,False
65f2cfc9-f124-4749-bdda-8a6df7e27c3d,False,False
66b55f61-24d1-4a1b-85f0-262bdf4cdd78,True,True
682649af-9388-4a10-a48b-8b931e23c7ac,True,True
691b3111-bac1-421e-943b-9f9b1c39dab2,True,True
694066d7-6878-44c5-9d81-321dbfeb78cc,True,True
696c710f-3003-4259-b1c6-4dc3757078f2,False,False
6a19f521-ece4-41ac-a722-6d60bf2ceccd,True,True
6d037e82-e2e8-47f9-ae49-dcfb815adc4f,False,False
6d8f6b82-198f-4b85-9f87-bbf460dd0dbb,False,False
6eacf931-2cad-482d-97d9-354bdec07e81,False,False
6f28b920-aa0e-4c81-a6f9-7f471fb0d692,True,True
6f7ab13f-2f64-4cbb-85bb-537f87f5f967,False,False
6fe50f99-6987-48cf-9f4e-862652ba56db,False,False
72268d95-f1c4-4f4f-b39d-21406d609421,False,False
7271c15a-4fb2-4c60-826b-55f3de32bf4b,True,True
73459d57-9156-49f8-8a57-f8b70eaec495,False,False
73dee5fd-6dc0-4690-92e2-0d6311f647d3,False,False
7597a041-d850-42ea-9dcf-1025ba29f163,False,False
76d269af-e6a2-451f-96b7-dbba3ea64ca2,False,False
7784b070-5433-4ce4-8684-a62e3babe2da,False,False
782e618e-e369-4e1d-962d-ee4e8f8bc595,False,False
78415d26-6b58-418f-abe3-b6921dd50831,False,False
78f88014-271b-4572-a9f9-e0831d5c0b9c,False,False
7afa64b5-16e8-40b7-9dff-7d9098570461,False,False
7be13155-394b-4742-9bd9-ae924c3a8a59,False,False
