id,question,manual_label,llm_sound,llm_answerable,llm_label
0203b828-6d87-4401-a595-2641e724a84a,"When bleeding doesn't stop on applying pressure and patient having intermittent pain too, what should be the treatment taken into consideration?",True,False,False,False
045f9534-2b60-4d2a-8eab-679494476682,"A 65-year-old man with a long history of diabetes mellitus was hospitalized for treatment of an ulcer, which had been present on his left great toe for several months. Left sided below knee amputation was performed because of the inability multiple courses of oral antibiotics to resolve the ulcer, On the first postoperative day, he developed fever which worsened by day 2. His amputation stump was mottled with many areas of purplish discoloration, and the most distal areas were quite obviously necrotic. Crepitus was palpable up to his patella. An X-ray of the left lower extremity was done. What is the likely pathogen?",True,False,False,False
0c6a4e54-9b06-4f12-b10e-0a0718c4a0d1,Mass treatment with azithromycin is indicated if prevalence of follicular trachomatous inflammation (TF) In 1-9 years population is more than:,True,False,False,False
0e746940-694c-468a-8051-b85079b820f5,Jarisch-herxheimer reaction is seen during treatment of patient suffering from -,True,False,False,False
0ea051c6-7db4-4c43-b484-56079c7175e4,"a child of 4yrs playing with painted toys since 2yrs, habitually places in the mouth and after 6hrs develops drowsiness, fever ,constipation with abdominal pain .what is the treatment of choice",True,False,False,False
0efe8fdf-6c20-48b5-9ff3-2529ae87d2f9,A 62-year-old woman with multiple myeloma is given pamidronate calcium biphosphonates. This treatment has been shown to do what?,True,False,False,False
10490e24-5eaa-4264-b53d-a58e8eedaa5f,"A 24-year-old unmarried women has multiple nodular, cystic, pustular and comadonic lesions on face, upper back and shoulders for 2 years. The drug of choice for her treatment would be:",True,False,False,False
105706eb-7c92-40cc-bf8b-70617a8a703b,"A 20 year old lady, Maya, frequently experiences palpitations, breathlessness, sweating and a fear of impending death. She has one episode of such attacks every week. There are no identifiable triggers for the episodes Which among the following is the best drug options for her long term treatment?",True,False,False,False
1332ada1-35f2-4605-9613-489d21690563,A 45 year old lady is having persistent reflux symptoms. Most accurate investigation in establishing the diagnosis before surgical treatment is,True,False,False,False
1396001d-1606-4185-9338-20aea9759565,The treatment for a child with cherubism is,True,False,False,False
15195d5c-2155-4fce-bf10-d0be3cb71983,"A 24 year old man had multiple, small hypopigmented macules on the upper chest and back for the last three months. The macules were circular, arranged around follicles and many had coalesced to form large sheets. The surface of the macules showed fine scaling. He had similar lesions one year ago which subsided with treatment. The most appropriate investigation to confirm the diagnosis is -",True,False,False,False
1759b7f4-7d65-41fc-8bba-a181a952c2f0,A HIV infected patient develops multibacillary leprosy. What is the recommended treatment?,True,False,False,False
17c85ecf-8a6a-4ebe-90e0-bd1cb7ff3484,"A 32 weeks premature infants, 900gm weight on the third days. The serum billirubin is 13 mg%. The treatment of choice is ___________",True,False,False,False
18111b17-10e3-445d-9e5a-b8ed5100c223,A patient presented with pulmonary embolism the treatment to be given is,True,False,False,False
1d10e003-de40-41cf-bed2-a0bcaa5fac1a,"A 3-year-old child presents with fever and earache. On examination, there is a congested tympanic membrane with a slight bulge. The treatment of choice is -",True,False,False,False
1e041e32-9ffd-46b4-9806-3847d5b95ec9,"A 32 weeks premature infants, 900gm weight on the third days. The serum bilirubin is 13 mg%. The treatment of choice is -",True,False,False,False
1ecbcb6f-d705-49d8-b22b-df2cd6034036,45 year old alcoholic male came for deaddiction treatment. He has alcohol induced hepatitis with other blood parameters within normal limits. The drug that has to be given for the above patient for relapse prevention is,True,False,False,False
2236cf1a-77ff-4ad1-9772-60404866563c,A patient presented with a 1x1.5 cms growth on the lateral border of the tongue. The treatment indicated would be:,True,False,False,False
24baad6d-88ad-42f1-9201-9e05ca1a5e59,A 25-year-old female has been diagnosed to be suffering from tuberculosis categorized as category I (sputum +ve) case of relapse. The new treatment regimen recommended under DOTS is,True,False,False,False
29b67df8-c8e0-4768-86db-8abe0ef6824a,One of your staff nurse had a deep prick from the needle used to inject an HIV positive individual. What is the treatment regime that should be staed in her/him? Note that drug resistance was suspected in the HIV patient. \r\n,True,False,False,False
29c7995a-3c3f-4d9c-8d26-8234c06086b8,Bone marrow depressive drugs in the treatment of AIDS patient are : a) Didanosine b) Zalcitabine c) Zidovudine d) Cotrimoxazole e) Ganciclovir,True,False,False,False
2c3683bb-f40b-40e9-b1bc-88c7735a7365,A 4 year old child with history of fall on left forearm and develops fracture in dorsal surface of mid region of radius. Best treatment is,True,False,False,False
2e1b983b-196f-4df6-b200-caec5eb1f20d,"An 8-month old child presented with itchy, exudative lesions on the face, palms and soles. The siblings also have similar complaints. The treatment of choice is such a patient is:",True,False,False,False
2e797f75-1b22-4e57-8f5c-3fa2a8fa9370,A child with schizophrenia was on medications. Suddenly he developed neck stiffness and spasm. Best treatment of such a case is?,True,False,False,False
2ef93653-ee52-4293-9442-6a9aacc99a3a,"A 52 year old man comes with jaundice and extra pyramidal symptoms. On ophthalmic examination, the above finding is noted. The treatment is :",True,False,False,False
301038fb-e740-477c-b496-05ec411ab0a1,"A 36 year old female came for treatment of infeility. To test for her ovarian reserve, the following is measured:",True,False,False,False
3596819f-e711-4fd8-9a95-3dfe3b5887a4,A 35 yrs female has been diagnosed with obsessive compulsive disorder and she washes her hands many times a day. Which would be the best CBT technique for her treatment?:,True,False,False,False
